,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,여의도,샛강역,스시센시,6.6 / 13,9.9 / 13,,010-8941-1207,일 휴무,,인원수별 변동가,원팀 다이닝 / 인원수에 따라 가격변동,,통화,서울 영등포구 여의대방로67길 8 고려빌딩 1층 108호,,,,,,,,,정향경,,,,,,,-
,,여의도,국회의사당역,제이레스토랑,"55,000",10 / 12.5,팀당 3만,02-780-1263,일 휴무,가능,,일본어 상호명을 쓸수가 없는 상가건물,,네이버,서울 영등포구 여의도동 17-6,https://www.instagram.com/j_restaurant_/,,,,,,J,슬픈전설이있음,,,,,,,,-
,,여의도,여의도역,스시아라타,"80,000","150,000",병당 3만,02-2636-9417,일 휴무,가능,,츠마미에 양식터치,런치2부/디너1부,에그다이닝(앱),서울 영등포구 국제금융로8길 16 지하1층 B124호,https://www.instagram.com/tsubasa841,,,,,,あらた,새로움,김현식,"스시만, 타쿠미곤",사케페어링(5만),,,10,,-
,,여의도,여의도역,삿뽀로블랙,"65,000","80,000",,02-6137-3060,무휴,,,,,전화예약,서울 영등포구 국제금융로 10 콘래드서울 호텔 L1층,,,,,,,,,,,,,,,,-
,,여의도,여의도역,스시혜정,"70,000","170,000",병당 2만,010-4747-8293,일 휴무,가능,,일요일 스페셜 예약(5만),런치2부/디너1부,"전화,문자예약",서울 영등포구 여의대방로 376 나라키움빌딩 3층 309호,https://www.instagram.com/sushi__hyejeong/,,,,,,-,-,하명진,하쯔호,,ㅇ,-,7,2019.6,ㅇ
,,여의도,63빌딩인근,하쯔호,"50,000","80,000",1병 FREE,02-780-1634,토일 휴무,가능,오마카세디너 11,구 이노찌 자리,,,서울 영등포구 여의동로 213 금호리첸시아 지하1층,-,,,,,,初穂,첫수확,장호,,,,,14,,ㅇ
,,여의도,63빌딩,슈치쿠,"130,000","200,000",,02-789-5751,무휴,가능,,,,네이버,서울 영등포구 63로 50 58층,-,,,,,,朱竹,붉은대나무,,,,,,,2010.12,-
,,영등포,영등포시장역,나카지마고에몽,"100,000","110,000",병당 2만 / 4만,010-3903-1983,일 휴무,가능,,츠마미맛집 / 런치는 토요일만,디너 1타임,캐치테이블,서울 영등포구 국회대로54길 10 아크로타워스퀘어 상가동 지하1층 39호,http://instagram.com/nakajima_goemong,,,,,,中島五エ門,히익오딱꾸..,박세진,스시조,하이볼 판매,,,10,2019.1,ㅇ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,공덕,공덕역,오타루,"35,000","40,000",,02-711-4163,격주 일 휴무,가능,사시미코스 6,,,,서울 마포구 만리재옛길 32 1층  101호,,,,,,,,,,,,,,,,-
,,공덕,공덕역,스시준,"40,000","75,000",인당 1만,02-706-8111,"일, 격주토",불가,,,,네이버예약,서울 마포구 마포대로12길 57 청솔피아노,,,,,,,俊,뛰어난인물,,,,,,,,-
,,공덕,공덕역,이요이요스시3,"40,000","60,000",병당 2만,010-4128-2535,일 휴무,가능,,수요미식회,,,서울 마포구 백범로 152 파크자이상가201동 14호1층,-,,,,,,いよいよ,점점,,,,,,10,,ㅇ
,,공덕,공덕~마포역,이요이요스시2,"45,000","75,000",병당 2만,02-710-7279,토 휴무,발렛파킹,,호텔입점,,,서울 마포구 마포대로 58 베스트웨스턴프리미어서울가든호텔,-,,,,,,いよいよ,점점,,,,,,,,ㅇ
,,공덕,공덕역,스시소라 마포,"50,000","80,000",병당 3만,02-701-2200,무휴,가능,,코우지 서브브랜드,런치2부/디너2부,통화,서울 마포구 도화동 563,,,,유투브채널 '코우지TV' 리뷰,유투브채널 '코우지TV' 리뷰 (혹평-안봉호쉪),,そら [空],하늘,,,,,,,2019.1,-
,,공덕,공덕역,스시정미,디너 7만 / 오마카세 10만,,병당 2만,010-8720-9509,일 휴무,가능,,런치운영 X,,"전화, 문자예약",서울 마포구 백범로 199 2층 203호,https://www.instagram.com/younghun5581/,,,,,,情味,인간미,,,,,,,,-
,,마포,DMC/수색역,스시가효,"35,000","70,000",병당 2만,02-304-1214,일 휴무,가능,,단체석,런치2부/디너1부,통화,서울 마포구 월드컵북로54길 25 상암dmc푸르지오시티 2층 222호,https://www.instagram.com/sushi_gahyo/,,,유투브 '딜라이트'채널 리뷰,,,佳肴,맛좋은음식,,,소주 0.7 / 에비스생 1만,,4인룸 1,8,,-
,,마포,연희동,스시마쯔,*메모확인,"40,000",프리?(불확실),02-3144-2129,월 휴무,가능,런치엔 판초밥만,캐쥬얼 겸..,,통화,서울 서대문구 연희로 166 예림빌딩,https://www.instagram.com/youngmin872/,,,,,,松,소나무,,,,,,,2016.4,
,,마포,홍대입구역,스시히카리,"35,000","65,000",병당 1~3만,010-2698-6982,일 휴무,불가,,숙성스시/배민운영중,런치2부/디너2부,문자/ 카톡/ DM,서울 마포구 홍익로2길 31,https://www.instagram.com/chef_kns/,블로그 '꼬막나막스토리' 리뷰(런치),,,,,光,빛,김노성,,소주X / 산토리병맥 0.8,,,8,2016.5,-
,,마포,연희동,나카지마토라에몽,-,"77,000",,010-6305-7749,,,가오픈할인(10%),,,,서울 마포구 성미산로29길 40-18,https://www.instagram.com/tora_e_mong/,,,,,,虎エ門,,오광훈,나카지마고에몽,,,,,2021.3.17,
,,마포,홍대입구역,스시코미치,"40,000","70,000",FREE,010-8289-5271,일 휴무,불가,,,,캐치테이블,서울 마포구 동교로27길 3-14 1층,,,,,,,小道,작은길,,이요이요,,ㅇ,,10,2020.7.27,ㅇ
,,마포,마포역,이요이요스시4,"40,000","60,000",,010-2326-5699,일월 휴무,,,,,,서울 마포구 마포대로1길 16 3층,,,,,,,,,,,,,,,,
,,마포,합정,스시치카라,"45,000","80,000",병당 3만,010-6316-8139,일휴무,문의(2자리),,,런치2부/디너2부,캐치테이블,서울 마포구 성지1길 70 1층 스시치카라,https://www.instagram.com/chikara_yoon/,,블로거 'prettyfamily'님 리뷰,,유투버 'SushiPresident'님 리뷰 (입문추천),,力,힘,윤충열,,"소주X / 병맥(테라,산토리)",ㅇ,,8,2020.2,-
,,마포,이화여대,여래여거,-,"39,000",병당 2만,010-6472-5282,일 휴무,불가,주류주문 필수,추후 심야식당 운영예정,런치3부/디너2부,문자,서울 서대문구 이화여대길 56-3 1층,https://www.instagram.com/ewha_yryg,,,,,,如來如去,편히 오가는,이승선,,,,,6,2020.7,ㅇ
,,은평,증산역,스시소우카이,"25,000","35,000",병당 2만,070-4175-3331,일 휴무,불가,,15일치 예약을 한번에 받음,런치1부/디너2부,네이버예약,서울 서대문구 증가로23나길 25 1층,https://www.instagram.com/sushi_soukai,,,,유투버 '미식범'님 리뷰,,滄海,푸른바다,,,소주 0.4/ 산토리병맥0.8 /  도쿠리 1,ㅇ,-,6,2020.7,-
,,은평,역촌역,스시이마,"30,000","50,000",병당 1만,010-9367-5295,일 휴무,불가,,,런치시간예약제/디너1부,문자,서울 은평구 역말로 49-1,https://www.instagram.com/sushi_ima,,,,유투버 '빡쭈요이'님 리뷰,,今,지금,김창규,"스시시로, 이자카야 겐지",소주X / 병맥 / 하이볼 0.8,ㅇ,,8,2018.2,-
,,은평,독바위역,소야일식,"30,000","52,000",병당 1.5 / 2.5,010-3840-6030,월 휴무,가능,심야식당 2.5,12시까지 운영 / 노튜브존 / 주류필수,런치 일요일ONLY,문자(매달 15일~),서울 은평구 불광로14길 4,https://www.instagram.com/soyajprestaurants,블로거 '정이버'님 리뷰,블로거 '오스틴'님 리뷰,,유투버 '태융'님 리뷰,,小夜日食,-,원창현,전 스시냥 오너,소주 0.4  / 병맥,ㅇ,,7,2019.12,ㅇ
,,은평,응암역,스시온도,"35,000","70,000",人당 1만,010-4014-7172,일월 휴무,가능(문의),,요일별 디너시간 상이,런치2부/디너2부,네이버예약(Last 日 AM 12),서울 은평구 불광천길 536,https://www.instagram.com/sushi_ondo/,,블로거 '오스틴'님 리뷰,유투버 '더들리'님 리뷰,,,-,온도,채용섭,,소주X / 병맥 0.5,,,8,2019.11,ㅇ
,,마포,DMC역,스시토와,"38,000","90,000",병당 2만 / 3만,010-8887-6778,일 휴무,,,노튜브존,런치2부/디너시간예약,네이버예약,서울 마포구 매봉산로2안길 19-5,https://www.instagram.com/sushi_towa/,,,,,,,,,,,ㅇ,,8,2020.9,-
,,은평,역촌역,스시쇼부,"35,000","55,000",병당 2만,02-386-0045,무휴,가능,,1층은 단품,,네이버예약,서울 은평구 은평로13길 11-9,https://www.instagram.com/sushi_shobu/,,블로거 '채다인'님 리뷰,,,,勝負,승부,,,소주 0.5 / 에비스생 1,,,,2015.1,ㅇ
,,강서,오목교역,박홍남스시,"30,000","50,000",,02-2642-6360,일 휴무,불가,,구 스시쇼 / 모찌리도후,,,서울 양천구 목동동로12길 38 1층 101호,https://www.instagram.com/baghongnam2,블로거 '뜨레스니스'님 리뷰,,,,,-,쉐프성함,박홍남,,소주 0.5 / 스텔라생 0.8,,,8,2019.1,-
,,강서,오목교역,토겐,"35,000","75,000",병당 1만,010-2449-4373,월 휴무,가능,,,,문자,서울 양천구 오목로 300 206동 117호,https://www.instagram.com/togen_mokdong/,,,,,,桃源,도원,,,소주X / ,,,9,2019.1.28,ㅇ
,,강서,발산역,스시사라,"40,000","70,000",병당 2만,02-2084-7036,무휴,가능,,전 이이고또 자리/아라타 자매업장,런치2부/디너1부,,서울 강서구 마곡동로 55 1층 101호,https://www.instagram.com/sushisara_official/,,,,,,さら,새롭다,이진규,,,2인,,,2020.9,-
,,강서,공덕역,이요이요스시1,"40,000","60,000",병당 2만,02-306-0372,일 휴무,가능,,수요미식회,,,서울 마포구 마포대로 167,-,,,,,,いよいよ,점점,,,,,,,,ㅇ
,,강서,신정네거리역,니코리,"45,000",,,02-2061-5288,월 휴무,,"런치 15,000(판초밥)",,,,서울 양천구 중앙로36길 40,https://www.instagram.com/nikori_sushi/,,블로거 '보니피그'님 리뷰,,,,にこり,방긋,,,소주 0.5 / 스텔라생 0.7,ㅇ,테이블 2,,2019.1,ㅇ
,,강서,오목교역,스시다마,"45,000","58,000",병당 3만,02-2601-0009,일 휴무,불가,,,,,서울 양천구 오목로 313-8,,,,,,,玉,옥,,,,,,,,-
,,강서,발산역,스시금강,"50,000","80,000",,010-8421-7002,일월 휴무,가능,스페셜 11만,,,통화,서울 강서구 마곡동로3길 6 NY타워 1층 102호,https://www.instagram.com/sushi_kumkang/,,,,,,,,,,,,룸,,2020.8,-
,,강서,등촌동,나오키,"88,000","88,000",병당 2만,010-6387-9321,월 휴무,가능,,"토,일요일만 런치 / 노튜버존",런치1부/디너2부,"전화, 문자예약",서울 강서구 강서로56가길 45 1층,http://www.instagram.com/naoki_1133,,,유투버 '빡주요이'님 리뷰,유투버 '빡주요이'님 리뷰 (주말런치=디너),,なおき,올곧은,방재철,신지루스시,,,6인룸 1,,2018.6.9.,ㅇ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,용산,신용산역,스시우미,"50,000","80,000",병당 3만,02-797-0887,무휴,2시간 지원,,시미즈 서브브랜드,런치2부/디너2부,캐치테이블,서울 용산구 한강대로 69 푸르지오써밋 상가동 b101-2호,-,블로거 '더들리'님 리뷰(런치),,,유투버 '스시프레지던트'님 리뷰 (입문추천),,海,바다,김해송,시미즈,소주X /병맥 클라우드0.7 산토리1.2,,,,2020.1.22,-
,,용산,남영역,스시장,"40,000","70,000",병당 2만,02-790-7744,무휴,우리빌딩 무료,,생활의달인/판초밥,,통화,서울 용산구 한강대로 258,-,마리아주님 포스팅(혹평),,,유투버 '마리아주'님 리뷰,,長,쉐프분 성,장원석,"아리아께, 신림 히까리",,,,,2019,ㅇ
,,용산,용산역,스시산 블루,"45,000","70,000",병당 2만,02-2012-2766,무휴,가능,,카이센동 1.7,,,서울 용산구 한강대로23길 55 아이파크몰7층,,,,유투버 '미스장'님 리뷰,,,山 BLUE,,,,,,,,2020.2.7,-
,,용산,신용산역,스시이젠,-,"77,000",병당 2만,02-797-3174,무휴,가능(2시간무료),,,,"통화, DM",서울 용산구 한강대로 95 지하2층 247호,https://www.instagram.com/elephantk/,,,,,,,,김창수,,기린이찌방 0.9,,,,2021.5.08,
,,용산,한강진역,스시쵸우,"50,000","70,000",FREE,02-749-0235,월 휴무,근처 공영주차장(유료),,,런치2부/디너2부,,서울 용산구 한남대로27가길 10,https://www.youtube.com/channel/UC214togiQY0o7kIP7rC1PVQ,,블로거 '문썬'님의 리뷰,,,,寵,아끼다,박진태,"기꾸, 닌스시",,,,8,2015.8.24,-
,,용산,한강진역,스시고코로,"55,000","130,000",병당 2만,02-790-1182,무휴,2시간 무료(리첸시아),,단체석,,,서울 용산구 한남대로 60 금호리첸시아 A동 1층,,,,,,,心,마음,,,,,,,,-
,,용산,한남동,스시사찌,"55,000","100,000",병당 2만,02-792-4335,마지막주 일 휴무,문의(협소) / 발렛가능,,빠른 진행의 스시,,통화,서울 용산구 한남대로21길 20 2층,,,,,유투버 '먹적'님 리뷰,,幸,행복,장문창,아리아께,소주 1만 / 아사히생 1.5,,,,,ㅇ
,,용산,이촌동,스시우메,"50,000","60,000",,02-794-3121,일 휴무,불가,,기꾸에서 독립,,,서울 용산구 이촌로 319 현대아파트,,,,,,,梅,매화,박창주,기꾸출신,,,,,2010.1,-
,,용산,이촌동,스시아메,"50,000","70,000",병당 3만,02-796-8540,월 휴무,2시간 무료,,기꾸에서 독립,,,서울 용산구 한남대로 60 금호리첸시아 A동 1층,,,,,,,雨,비,박경우,기꾸출신,소주 1만,,테이블 3,8,,ㅇ
,,용산,한남동,현스시,"55,000","70,000",free?,02-793-7763,명절 휴무,발렛파킹,,,,,서울 용산구 이촌로 319,,,,,,,炫,,,기꾸출신,,,테이블 2,8,2016,-
,,용산,이촌동,긴스시,"60,000","100,000",병당 2만?,02-797-0141,명절 휴무,가능,,기꾸계열,,,서울 용산구 이촌로 319 현대아파트 31동상가 110호,,,,,,,銀,은,,,,,테이블2,9,2013,-
,,용산,이촌동,스시사이,"60,000","120,000",,02-792-6748,무휴,,,,,,서울 용산구 이촌로65가길 72 B1층,https://www.instagram.com/sushisai/?hl=ko,,,유투브채널 '강북미식회' 리뷰,유투브채널 '강북미식회' 리뷰,,才,재능,이승운,,,,8인룸 1,7,,ㅇ
,,용산,한남동,스시노아야,"90,000","180,000",병당 5만,02-792-8260,무휴,발렛파킹,,1인예약 안받음,,,서울 용산구 한남대로 91 나인원한남 고메494 지하2층,-,,,,,,鮨の彩,스시의빛,김광민,스시류코,산토리생,,,,2020.4.1,-
,,용산,이태원역,스시상남,"100,000","200,000",병당 5만,02-796-1464,월 휴무,,,프라이빗컨셉..?,,캐치테이블/전화,"서울특별시 용산구 이태원로55나길,6 지하 1층 (네이버 등록 X)",https://www.instagram.com/makao_lee/,,,,,,,셰프성함,이상남,"타츠, 코마츠",,2인,,6,2020.11,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,잠실,문정역,스시야츠,"33,000","50,000",병당 2만,02-560-4738,주말 휴무,가능,,전통주가 많음,시간예약제,네이버 예약 / 캐치테이블,서울 송파구 법원로 128 sk v1 gl메트로시티 B동 132-1호,http://instagram.com/sushiyatsu,,블로거 '투명한반창고'님 리뷰,,유투버 '소뭉이'님 리뷰,,やつ,자리수 8,,스시우오,소주0.4 / 산토리병맥 0.8,ㅇ,-,8,2018.1,-
,,잠실,문정역,달팽이식당,"33,000",A : 6 / B : 9,,02-401-4478,일 휴무,가능,런치 사시미코스 有,前 오씨네,,,서울 송파구 문정로 59,-,,,,,,달팽이,달팽이,,,,,,,,-
,,잠실,석촌호사거리,스시윤,"35,000","70,000",,02-423-3309,일 휴무,,,일요일 사전예약시 디너가능,,,서울 송파구 석촌호수로 188 114호,https://www.instagram.com/suahiyun7/,,,,,,允,진실로,,,,,,,2019.4,ㅇ
,,잠실,방이역,스시작,"40,000","80,000",,02-422-2017,무휴,가능,,,런치2부/디너2부,,서울 송파구 양재대로71길 13,https://www.instagram.com/sushizak_omakase/,,,,,,作,,,,,,,,2018.12,-
,,잠실,잠실역,스시세이류,"50,000","90,000",병당 2만,02-418-2288,일 휴무,가능,,,런치2부 / 디너 시간예약제,네이버,서울 송파구 올림픽로35가길 9 지하 1층 B35호,https://www.instagram.com/omakase_seiryu/,,,,유투버 '빡쭈요이'님 리뷰(혹평),,清流,맑게흐르는물,이효윤,호텔?,,,,,,-
,,잠실,삼전역,스시다원,"50,000","90,000",FREE,02-425-6906,무휴,가능,,,런치2부/디너2부,네이버 / 캐치테이블,서울 송파구 삼전로12길 6 1층,https://www.instagram.com/sushi_dawon/,,,유투버 '마리아주'님 리뷰,유투버 '빡쭈요이'님 리뷰,,多願,,장만상,,,ㅇ,,,2020.1,-
,,잠실,종합운동장역,코우리,"50,000","90,000",,02-422-0724,무휴,가능,,,,전화 / 네이버,서울 송파구 백제고분로 75 올림피아빌딩 지하1층 114호,https://www.instagram.com/__kouri__/,,,,,,こうり,(아마도)지명,박종훈,스시산,한라산소주 1만,,x,8,,-
,,잠실,삼전역,스시산,"60,000","110,000",병당 3만,02-413-3337,무휴,가능,,,,네이버,서울 송파구 석촌호수로 118 잠실청호빌딩 2층,https://www.instagram.com/_sushi_san_/,,,유투버 '미쓰장'님 리뷰,,,山,산,,,산토리생 1.3,,,,2014.7,ㅇ
,,잠실,삼전역,코스모스시,"60,000","120,000",병당 3 / 5,010-3285-1713,월 휴무,가능,,,,네이버,서울 송파구 삼전로7길 15,http://www.instagram.com/cosmo_sushi,,,,,,COSMO,조화/우주,이동현,,,ㅇ,,,,-
,,잠실,잠실역,쌩 메종,50유로,100유로,,02-3213-2646,무휴,가능,,프렌치/유로화결제,런치3부/디너3부,전화/꼭 스시코스로,서울 송파구 올림픽로 300 롯데백화점에비뉴엘월드타워점 6층,-,,,유투버 '미스장'님 리뷰 (런치),,,saintmaison,성스러운집,,,,,,,,-
,,강동,명일동,키세츠스시,"25,000","35,000",병당 2만/3만,010-8915-2632,,,메모참조,,런치2부/디너2부,,서울 강동구 상암로47길 83 1층,,,,,유부터 '마리아주'님 리뷰,,,계절,,,생맥0.5,ㅇ(보조1),,8,,ㅇ
,,강동,상일동,송하정스시,"28,000","38,000",FREE,010-7104-9482,일 휴무,불가,모듬사시미 추가 1.8,세컨샵(장어야/참치) 운영,런치2부/디너2부,네이버예약 (Last 月 PM 2),서울 강동구 상일로 39-8,https://www.instagram.com/hajung0125/,,블로거 '공대이끼'님 리뷰,,유투버 '회사랑'님 리뷰,,-,쉐프성함,송하정,,소주0.5 / 병맥,ㅇ,-,8,2017.8,ㅇ
,,강동,강동구청역,스시마에,"30,000","52,000",,02-484-9914,일 휴무,불가,,,,,서울 강동구 성내로 40 동흔빌딩 1층,https://www.instagram.com/_sushi_mae_/,,,,,,まえ,앞,최성길,,소주0.5 / 맥주 0.5,,,,2016.5.16,ㅇ
,,강동,강동역,스시모루,"55,000","110,000",,02-471-1717,일 휴무,2시간 무료,,,,카카오톡 플러스친구 / 통화,서울 강동구 천호대로 1089 신동아 파밀리에 B1 스시모루,http://www.instagram.com/sushi_moru,,,,,,もる,,박광선,,한라산소주 / 에비스생,,,,2017.2,-
,,강동,둔촌동역,하얀스시,-,"90,000",,02-471-3433,일 휴무,가능,,,,,서울 송파구 오금로11길 55-8 2층 하얀스시,,,,,,,,한국말,강호준,스시산,산토리 생 0.9,,,,,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,구로,구로디지털역,스시비쇼쿠,"50,000","70,000",병당 2만,02-865-1488,일 휴무,가능,,스시코스존재,,,서울 구로구 디지털로34길 55 코오롱싸이언스밸리2차,https://www.instagram.com/dohyun_bisyokoo,블로거 '박보구'님 리뷰,,,유투버 '쫄콩'님의 리뷰,,美食,맛있는음식,,,,,,,2016.11,ㅇ
,,관악구,보라매역,상남스시,"25,000","35,000",병당 1만,02-822-3455,일 휴무,불가,모듬사시미 추가 1.5,,런치1부/디너2부,통화,서울 동작구 여의대방로24길 64,-,,블로거 '케케케'님 리뷰,,유투버 '미식범'님 리뷰,,-,쉐프성함합성,,,소주0.5 / 병맥 0.5,ㅇ,-,9,2016오픈/2019리뉴얼,-
,,관악구,서울대입구,스시려,"38,000","70,000",병당 3만,02-874-1275,무휴,가능,,,,통화,서울 관악구 봉천로 456,-,,,유투버 '미식범'님 리뷰,유투버 '맛객리우'님 리뷰,,廬,오두막집,오봉학,,소주0.4 / 산토리생 0.8,,테이블 2,7,2014,-
,,관악구,서울대입구,잇칸스시,"23,000","45,000",,02-6408-4860,월 휴무,,,숙성스시,,통화/DM/카카오채널,서울 관악구 관악로28길 12 2층,https://www.instagram.com/lkkansushi/,,,,,,,,,,,,,,,ㅇ
,,동작구,신대방동,스시가네끼,4.4 /  6.6,9 / 12,병당 3만,02-831-3472,일 휴무,가능,주말런치 9만,토요일 런치 2부제,런치1부/디너2부,,서울 동작구 보라매로5가길 16 보라매아카데미타워 2층,https://www.instagram.com/osaka_sudal/,,,유투버 '마리아주'님 리뷰,,,かねき金木,가늘고단단한나무,김태한,"스시초희, 스시진수",,,,,2011,-
,,신림,신림역,스시새옹,-,"60,000",병당 3만,010-2328-9089,일 휴무,불가,,스시/사시미 선택,,,서울 관악구 관천로22길 70 1층 새옹,http://www.instagram.com/saeong1974,런치 x,블로거 'Eunice'님 리뷰,,,,,,,,소주 0.5 / 병맥 0.5,ㅇ,,,,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,종로,명동역,스시이소,"35,000","120,000",,02-2263-4401,일 휴무,,단품/스시코스 운영,12만 오마카세에 1++ 한우 포함,,통화,서울 중구 퇴계로 163-1,https://www.instagram.com/sushi.iso/,블로거 '미스터화이트'님 리뷰,,,,,磯,갯바위,,,,,,12,,-
,,종로,광화문역,구마스시,"40,000","60,000",,02-735-2500,공휴일,가능,,,,,서울 종로구 새문안로 92 광화문오피시아빌딩 지하1층,-,,블로거 '주저니'님 리뷰,,,,熊,곰,,,,,,,,-
,,종로,광화문~종각역,스시소라 광화문,"50,000","80,000",병당 3만,02-733-8400,무휴,가능,,코우지 서브브랜드,런치2부/디너2부,통화,서울 종로구 종로1가 24,,,,"유투버채널 '코우지TV"" 리뷰",,,そら [空],하늘,,,,,,,2018.5,-
,,종로,서촌(경복궁역),스시누하,"50,000","120,000",작3/큰4/위5,02-725-2416,일 휴무,불가,,한국식 인테리어,런치1부/디너1부,네이버,서울 종로구 필운대로 35-1 스시누하,https://www.instagram.com/sushi_nuha/,,,,유투버 '빡쭈요이'님 리뷰,,樓下,다락 밑,이지훈,,,ㅇ,,10,2020.5.1,-
,,종로,광화문역,오가와,"50,000","70,000",병당 3만,02-735-1001,"토, 일 휴무",인근 공영주차장(유료),,,런치2부/디너2부,,서울 종로구 새문안로5길 19,,,,,유투버 '더들리'님 리뷰,,小川,작은시내,,,,,,,,-
,,종로,광화문역,스시산원 경,"50,000","80,000",병당 2만,02-733-7770,무휴,가능,,3호기,런치2부/디너2부,,서울 종로구 새문안로3길 36 용비어천가 지하1층 120호,,,,,유투버 '맛객리우'님 리뷰,,山園 慶,,,,,,,,2017.12.4,-
,,종로,경복궁,스시산원 궁,"60,000","100,000",병당 2만,02-733-0918,무휴,,,4호기,런치2부/디너2부,,서울 종로구 종로1길 50 더케이트윈타워  지하1층 제14호,https://www.instagram.com/parkjoon_hulk/,,,,,,山園 宮,,박준혁,"구루메스시, 산원, 산원청, 산원경",,,,,2020.11,-
,,종로,경복궁역,스시호센,"50,000","85,000",,02-733-5451,일 휴무,가능(4대),,,,,서울 종로구 사직로8길 4 풍림스페이스본 상가,https://www.instagram.com/hosen_seo/,,,,,,ほうせん,,,,,,6인룸 1,6,2019.5.17,-
,,종로,을지로입구역,스시미토,"60,000","120,000",매너콜키지,02-3789-1634,토일 휴무,가능(4대),,숙성/창작스시,,,서울 중구 남대문로 117 동아빌딩 지하1층,,,,,,,みと,,윤상흠,"아리아께, 여의도 타마",,,,10,,-
,,종로,광화문역,스시미치루,"60,000","100,000",,02-761-4090,일 휴무,가능,,수요미식회 나오고 있는 이만쉐프,,네이버 / 캐치테이블,서울 종로구 종로1길 42 지하 1층,https://www.instagram.com/cook20000/,,,,,,満,넘치다,이만,여의도 스시미치루,,,,,,-
,,종로,광화문,스시와,"65,000","110,000",,02-730-5396,일 휴무,가능,,스시효계열?,,,서울 종로구 율곡로2길 7 서머셋팰리스서울 2층 201호,,,,,,,和,,안효상,스시효 안효주셰프 친동생,,,,,,
,,종로,시청역,스시화정,"60,000","90,000",FREE,02-757-7766,일 휴무,,,생활의달인 방영,,네이버,서울 중구 세종대로14길 29,,,,,,,化丁,대표 성함,이승만,,,,,,,-
,,종로,광화문역,정준호스시,"88,000","132,000",,02-852-1220,일 휴무,가능,,사케페어링 / 노키즈존 ,,,서울 종로구 세종대로23길 54 B 105호,https://www.instagram.com/jeongjunhosushi/,,,,,,-,쉐프성함,정준호,,사케페어링,ㅇ,,,2020.7,-
,,종로,소격동(안국역),스시키즈나,"110,000","220,000",병당 5만,02-722-0411,매주일/격주월,불가,,모박송이 / 한옥스시야,,,서울 종로구 율곡로1길 78,-,,,,,,きずな,인연,송웅식,"아리아께, 이끼",,,,7,2019.9,-
,,종로,을지로입구,스시조,"185,000","250,000",병당 5만,02-317-0314,무휴,,멤버십카드 소지시 할인,웨스틴조선호텔,,,서울 중구 소공로 106,-,,,,,,,,조병곤,,,,,,,-
,,종로,광화문,해조스시,3.5 / 6,5 / 9,병당 3만,02-722-2379,일 휴무,발렛가능,,,,통화,서울 중구 세종대로22길 16,http://blog.naver.com/haejosushi,,,,,,海朝,바닷가의아침,,,소주 0.6 / 병맥,,,15,,-
,,강북,회기역,오관스시,"15,000","20,000",FREE,070-8225-6369,일 휴무,불가,,서울최저가,,통화,서울 동대문구 회기로 121,,블로거 '마블'님의 리뷰,,유투버 '마리아주'님 리뷰,유투버 '먹적'님 리뷰(혹평),,五官すし,쉐프성함,오관석,,소주0.4 / 병맥,,,,,ㅇ
,,강북,군자역,물고기,-,"30,000",,02-466-2221,,,오마카세는 디너에만,캐쥬얼한 초밥집,,,서울 광진구 면목로 1,,,,,,,,,,,소주 0.4 / 병맥 0.5 / 도쿠리 1,,,,,-
,,강북,청구역,스담,"15,000","24,000",병당 1만,02-6227-1116,일 휴무,불가,,,,통화,서울 중구 다산로28길 2-1,http://www.instagram.com/seudam1116,,블로그 '쵸쵸의 기억저장소' 리뷰,유투버 '마리아주'님 리뷰,,,스담,스시를담다,,,소주 0.5 / 병맥,ㅇ,-,8,,ㅇ
,,강북,고려대역,우정초밥,"16,000","25,000",병당 1만,070-4320-2333,일 휴무,,,,,통화,서울 성북구 종암로3길 31 1층,https://www.instagram.com/gimsehwan5504/,,,,,,,우정,김세환,,소주 0.4 / 병맥0.4,ㅇ,,,2020.1,ㅇ
,,강북,공릉,경성초밥,"24,000",,,02-978-8864,화 휴무,불가,모듬초밥 1.6,"단품판매, 사시미판매",,통화,서울 노원구 공릉로 119-5,https://www.instagram.com/minkyungsung1026/,블로거 '크림치즈당근케잌'님 리뷰,,,,,,셰프님 성함,민경성,임페리얼 팰리스 일식부 조리장,소주 0.4 / 병맥0.4 / 컵정종 0.5,,,,2019.1,-
,,강북,석계역,스시다온,"39,000","39,000",,02-941-9991,일 휴무,,디너 주류필수,,런치2부/디너2부,캐치테이블,서울 노원구 석계로 9 2층,https://www.instagram.com/sushi_daon/,,,,,,,,,,,,,,2021.2,-
